match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,1.4,Manchester Originals,Southern Brave,JC Buttler,PD Salt,MG Hogan,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,1.5,Manchester Originals,Southern Brave,PD Salt,JC Buttler,MG Hogan,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,2.1,Manchester Originals,Southern Brave,PD Salt,JC Buttler,D Moriarty,4,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,2.2,Manchester Originals,Southern Brave,PD Salt,JC Buttler,D Moriarty,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,2.3,Manchester Originals,Southern Brave,JC Buttler,PD Salt,D Moriarty,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,2.4,Manchester Originals,Southern Brave,PD Salt,JC Buttler,D Moriarty,4,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,2.5,Manchester Originals,Southern Brave,PD Salt,JC Buttler,D Moriarty,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,3.1,Manchester Originals,Southern Brave,JC Buttler,PD Salt,MP Stoinis,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,3.2,Manchester Originals,Southern Brave,PD Salt,JC Buttler,MP Stoinis,2,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,3.3,Manchester Originals,Southern Brave,PD Salt,JC Buttler,MP Stoinis,3,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,3.4,Manchester Originals,Southern Brave,JC Buttler,PD Salt,MP Stoinis,4,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,3.5,Manchester Originals,Southern Brave,JC Buttler,PD Salt,MP Stoinis,0,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,4.1,Manchester Originals,Southern Brave,PD Salt,JC Buttler,MG Hogan,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,4.2,Manchester Originals,Southern Brave,JC Buttler,PD Salt,MG Hogan,0,1,1,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,4.3,Manchester Originals,Southern Brave,JC Buttler,PD Salt,MG Hogan,4,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,4.4,Manchester Originals,Southern Brave,JC Buttler,PD Salt,MG Hogan,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,4.5,Manchester Originals,Southern Brave,PD Salt,JC Buttler,MG Hogan,6,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,4.6,Manchester Originals,Southern Brave,PD Salt,JC Buttler,MG Hogan,4,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,5.1,Manchester Originals,Southern Brave,PD Salt,JC Buttler,JB Lintott,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,5.2,Manchester Originals,Southern Brave,JC Buttler,PD Salt,JB Lintott,0,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,5.3,Manchester Originals,Southern Brave,JC Buttler,PD Salt,JB Lintott,0,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,5.4,Manchester Originals,Southern Brave,JC Buttler,PD Salt,JB Lintott,0,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,5.5,Manchester Originals,Southern Brave,JC Buttler,PD Salt,JB Lintott,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,6.1,Manchester Originals,Southern Brave,JC Buttler,PD Salt,D Moriarty,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,6.2,Manchester Originals,Southern Brave,PD Salt,JC Buttler,D Moriarty,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,6.3,Manchester Originals,Southern Brave,JC Buttler,PD Salt,D Moriarty,6,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,6.4,Manchester Originals,Southern Brave,JC Buttler,PD Salt,D Moriarty,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,6.5,Manchester Originals,Southern Brave,PD Salt,JC Buttler,D Moriarty,0,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,7.1,Manchester Originals,Southern Brave,PD Salt,JC Buttler,JK Fuller,0,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,7.2,Manchester Originals,Southern Brave,PD Salt,JC Buttler,JK Fuller,3,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,7.3,Manchester Originals,Southern Brave,JC Buttler,PD Salt,JK Fuller,2,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,7.4,Manchester Originals,Southern Brave,JC Buttler,PD Salt,JK Fuller,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,7.5,Manchester Originals,Southern Brave,PD Salt,JC Buttler,JK Fuller,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,8.1,Manchester Originals,Southern Brave,PD Salt,JC Buttler,JB Lintott,0,0,,,,,,caught,PD Salt,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,8.2,Manchester Originals,Southern Brave,WL Madsen,JC Buttler,JB Lintott,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,8.3,Manchester Originals,Southern Brave,JC Buttler,WL Madsen,JB Lintott,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,8.4,Manchester Originals,Southern Brave,WL Madsen,JC Buttler,JB Lintott,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,8.5,Manchester Originals,Southern Brave,JC Buttler,WL Madsen,JB Lintott,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,9.1,Manchester Originals,Southern Brave,WL Madsen,JC Buttler,D Moriarty,0,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,9.2,Manchester Originals,Southern Brave,WL Madsen,JC Buttler,D Moriarty,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,9.3,Manchester Originals,Southern Brave,JC Buttler,WL Madsen,D Moriarty,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,9.4,Manchester Originals,Southern Brave,WL Madsen,JC Buttler,D Moriarty,0,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,9.5,Manchester Originals,Southern Brave,WL Madsen,JC Buttler,D Moriarty,0,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,10.1,Manchester Originals,Southern Brave,JC Buttler,WL Madsen,JK Fuller,4,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,10.2,Manchester Originals,Southern Brave,JC Buttler,WL Madsen,JK Fuller,0,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,10.3,Manchester Originals,Southern Brave,JC Buttler,WL Madsen,JK Fuller,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,10.4,Manchester Originals,Southern Brave,WL Madsen,JC Buttler,JK Fuller,2,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,10.5,Manchester Originals,Southern Brave,WL Madsen,JC Buttler,JK Fuller,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,11.1,Manchester Originals,Southern Brave,JC Buttler,WL Madsen,MP Stoinis,2,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,11.2,Manchester Originals,Southern Brave,JC Buttler,WL Madsen,MP Stoinis,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,11.3,Manchester Originals,Southern Brave,WL Madsen,JC Buttler,MP Stoinis,0,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,11.4,Manchester Originals,Southern Brave,WL Madsen,JC Buttler,MP Stoinis,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,11.5,Manchester Originals,Southern Brave,JC Buttler,WL Madsen,MP Stoinis,0,2,,2,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,11.6,Manchester Originals,Southern Brave,JC Buttler,WL Madsen,MP Stoinis,6,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,12.1,Manchester Originals,Southern Brave,WL Madsen,JC Buttler,JB Lintott,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,12.2,Manchester Originals,Southern Brave,JC Buttler,WL Madsen,JB Lintott,6,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,12.3,Manchester Originals,Southern Brave,JC Buttler,WL Madsen,JB Lintott,0,1,,,1,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,12.4,Manchester Originals,Southern Brave,WL Madsen,JC Buttler,JB Lintott,1,0,,,,,,run out,WL Madsen,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,12.5,Manchester Originals,Southern Brave,AD Russell,JC Buttler,JB Lintott,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,13.1,Manchester Originals,Southern Brave,JC Buttler,AD Russell,D Moriarty,2,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,13.2,Manchester Originals,Southern Brave,JC Buttler,AD Russell,D Moriarty,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,13.3,Manchester Originals,Southern Brave,AD Russell,JC Buttler,D Moriarty,0,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,13.4,Manchester Originals,Southern Brave,AD Russell,JC Buttler,D Moriarty,0,1,1,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,13.5,Manchester Originals,Southern Brave,AD Russell,JC Buttler,D Moriarty,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,13.6,Manchester Originals,Southern Brave,JC Buttler,AD Russell,D Moriarty,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,14.1,Manchester Originals,Southern Brave,JC Buttler,AD Russell,JK Fuller,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,14.2,Manchester Originals,Southern Brave,AD Russell,JC Buttler,JK Fuller,2,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,14.3,Manchester Originals,Southern Brave,AD Russell,JC Buttler,JK Fuller,0,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,14.4,Manchester Originals,Southern Brave,AD Russell,JC Buttler,JK Fuller,6,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,14.5,Manchester Originals,Southern Brave,AD Russell,JC Buttler,JK Fuller,2,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,15.1,Manchester Originals,Southern Brave,AD Russell,JC Buttler,GHS Garton,6,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,15.2,Manchester Originals,Southern Brave,AD Russell,JC Buttler,GHS Garton,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,15.3,Manchester Originals,Southern Brave,JC Buttler,AD Russell,GHS Garton,6,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,15.4,Manchester Originals,Southern Brave,JC Buttler,AD Russell,GHS Garton,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,15.5,Manchester Originals,Southern Brave,AD Russell,JC Buttler,GHS Garton,4,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,16.1,Manchester Originals,Southern Brave,JC Buttler,AD Russell,JB Lintott,0,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,16.2,Manchester Originals,Southern Brave,JC Buttler,AD Russell,JB Lintott,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,16.3,Manchester Originals,Southern Brave,AD Russell,JC Buttler,JB Lintott,0,1,1,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,16.4,Manchester Originals,Southern Brave,AD Russell,JC Buttler,JB Lintott,4,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,16.5,Manchester Originals,Southern Brave,AD Russell,JC Buttler,JB Lintott,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,16.6,Manchester Originals,Southern Brave,JC Buttler,AD Russell,JB Lintott,6,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,17.1,Manchester Originals,Southern Brave,JC Buttler,AD Russell,MG Hogan,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,17.2,Manchester Originals,Southern Brave,AD Russell,JC Buttler,MG Hogan,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,17.3,Manchester Originals,Southern Brave,JC Buttler,AD Russell,MG Hogan,0,0,,,,,,caught,JC Buttler,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,17.4,Manchester Originals,Southern Brave,T Stubbs,AD Russell,MG Hogan,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,17.5,Manchester Originals,Southern Brave,AD Russell,T Stubbs,MG Hogan,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,18.1,Manchester Originals,Southern Brave,AD Russell,T Stubbs,JK Fuller,6,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,18.2,Manchester Originals,Southern Brave,AD Russell,T Stubbs,JK Fuller,4,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,18.3,Manchester Originals,Southern Brave,AD Russell,T Stubbs,JK Fuller,0,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,18.4,Manchester Originals,Southern Brave,AD Russell,T Stubbs,JK Fuller,0,1,,,,1,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,18.5,Manchester Originals,Southern Brave,T Stubbs,AD Russell,JK Fuller,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,19.1,Manchester Originals,Southern Brave,AD Russell,T Stubbs,MG Hogan,6,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,19.2,Manchester Originals,Southern Brave,AD Russell,T Stubbs,MG Hogan,4,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,19.3,Manchester Originals,Southern Brave,AD Russell,T Stubbs,MG Hogan,6,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,19.4,Manchester Originals,Southern Brave,AD Russell,T Stubbs,MG Hogan,4,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,19.5,Manchester Originals,Southern Brave,AD Russell,T Stubbs,MG Hogan,4,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",2,0.1,Southern Brave,Manchester Originals,Q de Kock,JM Vince,MT Stanley,0,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",2,0.2,Southern Brave,Manchester Originals,Q de Kock,JM Vince,MT Stanley,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",2,0.3,Southern Brave,Manchester Originals,JM Vince,Q de Kock,MT Stanley,0,0,,,,,,,,,
